,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Январь,120,103.3,101.1,100.8,105.7,104.8,101.7,101.5,101.1,100.4,101.9,100.4,101.6,102.2,101.4,100.4,102.8,100.5,101.4,100.5,105.5,104.4,101.5,98.9,101.3
Февраль,119.1,103.3,101.6,100.6,105.7,102.7,101.6,101.6,100.8,101.4,100.8,101.9,101,101.8,100.4,101.1,100.7,100.4,99.9,100.7,100.9,100.2,99.3,100.4,100
Март,112.2,103.5,101.4,100.3,105.8,101.6,101,100.6,100.5,100.8,100.6,100.4,100.5,100.6,100.1,100.3,100.1,100.3,100.1,100.8,100.2,99,99.7,100.2,100.3
Апрель,115.1,101.8,100.6,100.4,105.7,101.6,101,100.7,100.7,101.3,100.5,100.2,100.9,101.3,100.3,100.3,99.9,100.4,100.3,100.4,100.3,99.2,99.2,102.9,100.5
Май,109.1,101.5,100.4,100.5,105.8,100.9,101.2,100.4,100.6,101.1,100.7,101,101,100.9,100.1,101.4,100.5,100.4,100.4,100,100.1,99.7,100.2,101.4,100.9
Июнь,108.5,101.2,100.8,99.7,105.8,101.4,100.5,100.5,100.4,100.7,101.2,100.4,101.1,101.8,100.1,100.4,99.8,101.2,100.6,99.7,100,99.6,100.3,100.6,100.5
Июль,108.9,101.1,100.1,99.8,105.8,100.9,101.2,100.6,100.7,100.6,100.5,100.4,100.7,101.6,100.3,100.2,100.4,100.1,100.8,100.5,100.7,98.9,101,100.5,100
Август,105.4,101.2,100.4,100,101.8,101.6,100.8,100.2,100.5,100.7,100.4,100.4,100.8,101.7,100,100.8,100.3,99.8,100,100.4,103.3,100.4,100,102.6,102.8
Сентябрь,105.5,101.2,100.4,104.7,102.7,100.9,100.7,100.6,101.1,100.5,100.1,100.4,100.5,101.3,100.1,100.5,100.1,100.4,100,100.6,101.4,99.8,99,101,100.3
Октябрь,105.8,100.9,100.6,104.2,102.5,101,100.7,100.6,100.4,100.7,100.5,100.8,101.1,100.4,100.1,100.3,100.4,100.1,99.9,101.9,100.3,98.2,100,99,100.2
Ноябрь,103.5,101.1,100.2,105.2,103.3,100.8,100.9,100.4,100.3,100.7,100.4,100.7,101,100.3,99.9,100.2,100.4,100.2,99.8,102.2,101.9,100,100.8,100.2,100.3
Декабрь,102,101.1,100.1,103,101.8,101.2,100.7,100.3,100.4,100.4,100.4,100.5,100.7,100.1,100,100.1,100.2,100,100,104,104.1,98.4,100,101,100
